x,y,z,s,t,w
10200,1665,10335,3220,3625,10825
2640,4950,5610,9520,10730,11050
2640,4480,5200,9750,10730,11050
5760,3864,6936,8602,9430,11050
8602,3864,9430,5760,6936,11050
9520,4950,10730,2640,5610,11050
9750,4480,10730,2640,5200,11050
6240,1404,6396,9072,9180,11100
9072,1404,9180,6240,6396,11100
2448,1664,2960,10752,10880,11152
10752,1664,10880,2448,2960,11152
4557,3124,5525,9840,10324,11285
9840,3124,10324,4557,5525,11285
1512,4991,5215,10488,11615,11713
10488,4991,11615,1512,5215,11713
4928,9240,10472,5445,10725,11803
5445,9240,10725,4928,10472,11803
2601,1768,3145,11424,11560,11849
6601,4032,7735,8976,9840,11849
8976,4032,9840,6601,7735,11849
11424,1768,11560,2601,3145,11849
2520,10881,11169,4092,11625,11895
4092,10881,11625,2520,11169,11895
6808,3360,7592,9306,9894,12010
9306,3360,9894,6808,7592,12010
6760,1521,6929,9828,9945,12025
9828,1521,9945,6760,6929,12025
2904,5445,6171,10472,11803,12155
2904,4928,5720,10725,11803,12155
10472,5445,11803,2904,6171,12155
10725,4928,11803,2904,5720,12155
3920,4788,6188,10659,11685,12325
10659,4788,11685,3920,6188,12325
2457,5040,5607,11220,12300,12543
11220,5040,12300,2457,5607,12543
2754,1872,3330,12096,12240,12546
12096,1872,12240,2754,3330,12546
1404,1197,1845,12540,12597,12675
12540,1197,12597,1404,1845,12675
5376,10080,11424,5940,11700,12876
5940,10080,11700,5376,11424,12876
7280,1638,7462,10584,10710,12950
10584,1638,10710,7280,7462,12950
3864,1998,4350,12240,12402,12990
12240,1998,12402,3864,4350,12990
7700,6720,10220,8208,10608,13108
8208,6720,10608,7700,10220,13108
2907,1976,3515,12768,12920,13243
12768,1976,12920,2907,3515,13243
3168,5940,6732,11424,12876,13260
3168,5376,6240,11700,12876,13260
11424,5940,12876,3168,6732,13260
11700,5376,12876,3168,6240,13260
1476,10032,10140,8645,13243,13325
5460,9405,10875,7700,12155,13325
5460,6336,8364,10373,12155,13325
7700,9405,12155,5460,10875,13325
8645,10032,13243,1476,10140,13325
10373,6336,12155,5460,8364,13325
6825,7920,10455,8316,11484,13359
8316,7920,11484,6825,10455,13359
7800,1755,7995,11340,11475,13875
11340,1755,11475,7800,7995,13875
2132,3024,3700,13440,13776,13940
3060,2080,3700,13440,13600,13940
5712,7084,9100,10560,12716,13940
9044,1008,9100,10560,10608,13940
10560,7084,12716,5712,9100,13940
10560,1008,10608,9044,9100,13940
13440,3024,13776,2132,3700,13940
13440,2080,13600,3060,3700,13940
5824,10920,12376,6435,12675,13949
6435,10920,12675,5824,12376,13949
714,2552,2650,13920,14152,14170
13920,2552,14152,714,2650,14170
1365,1584,2091,14212,14300,14365
3432,6435,7293,12376,13949,14365
3432,5824,6760,12675,13949,14365
12376,6435,13949,3432,7293,14365
12675,5824,13949,3432,6760,14365
14212,1584,14300,1365,2091,14365
3213,2184,3885,14112,14280,14637
14112,2184,14280,3213,3885,14637
8320,1872,8528,12096,12240,14800
12096,1872,12240,8320,8528,14800
6272,11760,13328,6930,13650,15022
6930,11760,13650,6272,13328,15022
4508,2331,5075,14280,14469,15155
14280,2331,14469,4508,5075,15155
3330,12096,12546,8528,14800,15170
8528,12096,14800,3330,12546,15170
3366,2288,4070,14784,14960,15334
14784,2288,14960,3366,4070,15334
3696,6930,7854,13328,15022,15470
3696,6272,7280,13650,15022,15470
13328,6930,15022,3696,7854,15470
13650,6272,15022,3696,7280,15470
1952,14820,14948,4725,15555,15677
4725,14820,15555,1952,14948,15677
2405,8736,9061,12852,15540,15725
8840,1989,9061,12852,13005,15725
12852,8736,15540,2405,9061,15725
12852,1989,13005,8840,9061,15725
3360,14508,14892,5456,15500,15860
5456,14508,15500,3360,14892,15860
6552,11286,13050,9240,14586,15990
9240,11286,14586,6552,13050,15990
3519,2392,4255,15456,15640,16031
15456,2392,15640,3519,4255,16031
6720,12600,14280,7425,14625,16095
7425,12600,14625,6720,14280,16095
9405,8208,12483,10220,13108,16133
9405,7700,12155,10608,13108,16133
10220,8208,13108,9405,12483,16133
10608,7700,13108,9405,12155,16133
2915,15312,15587,4284,15900,16165
4284,15312,15900,2915,15587,16165
9625,8400,12775,10260,13260,16385
10260,8400,13260,9625,12775,16385
3960,7425,8415,14280,16095,16575
3960,6720,7800,14625,16095,16575
8640,5796,10404,12903,14145,16575
12903,5796,14145,8640,10404,16575
14280,7425,16095,3960,8415,16575
14625,6720,16095,3960,7800,16575
9360,2106,9594,13608,13770,16650
13608,2106,13770,9360,9594,16650
3276,6720,7476,14960,16400,16724
14960,6720,16400,3276,7476,16724
3672,2496,4440,16128,16320,16728
16128,2496,16320,3672,4440,16728
1872,1596,2460,16720,16796,16900
16720,1596,16796,1872,2460,16900
7168,13440,15232,7920,15600,17168
7920,13440,15600,7168,15232,17168
5152,2664,5800,16320,16536,17320
16320,2664,16536,5152,5800,17320
2665,3780,4625,16800,17220,17425
3567,2944,4625,16800,17056,17425
3825,2600,4625,16800,17000,17425
7140,8855,11375,13200,15895,17425
11305,1260,11375,13200,13260,17425
13200,8855,15895,7140,11375,17425
13200,1260,13260,11305,11375,17425
16800,3780,17220,2665,4625,17425
16800,2944,17056,3567,4625,17425
16800,2600,17000,3825,4625,17425
9880,2223,10127,14364,14535,17575
14364,2223,14535,9880,10127,17575
4224,7920,8976,15232,17168,17680
4224,7168,8320,15600,17168,17680
15232,7920,17168,4224,8976,17680
15600,7168,17168,4224,8320,17680
9100,10560,13940,11088,15312,17812
