2132,3700,13440,4545424,13690000,180633600,194323600,189778176,9144576
3060,3700,13440,9363600,13690000,180633600,194323600,184960000,4326400
840,3723,1364,705600,13860729,1860496,15721225,15015625,13155129
3640,3731,5292,13249600,13920361,28005264,41925625,28676025,670761
1638,3738,7480,2683044,13972644,55950400,69923044,67240000,11289600
3404,3796,4653,11587216,14409616,21650409,36060025,24472809,2822400
1792,3808,1980,3211264,14500864,3920400,18421264,15210000,11289600
3780,3825,2600,14288400,14630625,6760000,21390625,7102225,342225
2772,3828,2275,7683984,14653584,5175625,19829209,12145225,6969600
1364,3875,840,1860496,15015625,705600,15721225,13860729,13155129
3213,3885,14112,10323369,15093225,199148544,214241769,203918400,4769856
1980,3900,1792,3920400,15210000,3211264,18421264,14500864,11289600
1848,3927,6664,3415104,15421329,44408896,59830225,56415121,12006225
1071,3975,20880,1147041,15800625,435974400,451775025,450627984,14653584
3366,4070,14784,11329956,16564900,218566656,235131556,223801600,5234944
4032,4080,918,16257024,16646400,842724,17489124,1232100,389376
3740,4100,819,13987600,16810000,670761,17480761,3493161,2822400
4080,4134,1288,16646400,17089956,1658944,18748900,2102500,443556
2112,4160,7800,4460544,17305600,60840000,78145600,73685056,12845056
2730,4182,28424,7452900,17489124,807923776,825412900,817960000,10036224
4180,4199,468,17472400,17631601,219024,17850625,378225,159201
3519,4255,15456,12383361,18105025,238887936,256992961,244609600,5721664
4160,4264,6048,17305600,18181696,36578304,54760000,37454400,876096
3808,4292,1056,14500864,18421264,1115136,19536400,5035536,3920400
3900,4292,1056,15210000,18421264,1115136,19536400,4326400,3211264
3276,4305,29260,10732176,18533025,856147600,874680625,863948449,7800849
2184,4350,3080,4769856,18922500,9486400,28408900,23639044,14152644
3864,4350,12240,14930496,18922500,149817600,168740100,153809604,3992004
3672,4440,16128,13483584,19713600,260112384,279825984,266342400,6230016
2112,4488,7616,4460544,20142144,58003456,78145600,73685056,15681600
2856,4550,5280,8156736,20702500,27878400,48580900,40424164,12545764
4522,4550,5280,20448484,20702500,27878400,48580900,28132416,254016
4680,4797,6804,21902400,23011209,46294416,69305625,47403225,1108809
5200,5330,7560,27040000,28408900,57153600,85562500,58522500,1368900
4557,5525,9840,20766249,30525625,96825600,127351225,106584976,9759376
4590,5550,20160,21068100,30802500,406425600,437228100,416160000,9734400
4743,5735,20832,22496049,32890225,433972224,466862449,444366400,10394176
5236,5740,7011,27415696,32947600,49154121,82101721,54686025,5531904
5152,5800,16320,26543104,33640000,266342400,299982400,273439296,7096896
